team,main,id,title,author,journal,number,cites,year,cid,pubid
Poverty and Inequality,Berk Özler,ocxMxAwAAAAJ,Putting welfare on the map in Madagascar,"J Mistiaen, B Ozler, T Razafimanantena, J Razafindravonona",World Bank Africa Region Working Paper Series No,34,84,2002,10768590948963181188,M3ejUd6NZC8C
Poverty and Inequality,Berk Özler,ocxMxAwAAAAJ,The regressive demands of demand-driven development,"S Baird, C McIntosh, B Özler",Journal of Public Economics,"106, 27-41",83,2013,"8263251222966706958,13424370987085593765,18306854326919816672",1sJd4Hv_s6UC
Poverty and Inequality,Berk Özler,ocxMxAwAAAAJ,The effects of cash transfers on adult labor market outcomes,"S Baird, D McKenzie, B Özler",IZA Journal of Development and Migration,"8 (1), 1-20",75,2018,10929250630090740623,ZfRJV9d4-WMC
Poverty and Inequality,Berk Özler,ocxMxAwAAAAJ,5. Girl Power: Cash Transfers and Adolescent Welfare: Evidence from a Cluster-Randomized Experiment in Malawi,"S Baird, E Chirwa, J De Hoop, B Özler","African Successes, Volume II",139-164,63,2016,"532825505499865658,9374313733053014588,4767676232217954035",HoB7MX3m0LUC
Poverty and Inequality,Berk Özler,ocxMxAwAAAAJ,Combining preschool teacher training with parenting education: A cluster-randomized controlled trial,"B Özler, LCH Fernald, P Kariger, C McConnell, M Neuman, E Fraga",Journal of Development Economics,"133, 448-467",61,2018,"11542803409223285519,14418086848166581465",-_dYPAW6P2MC
Poverty and Inequality,Berk Özler,ocxMxAwAAAAJ,The Heterogeneous Effects of HIV Testing,"S Baird, E Gong, C McIntosh, B Ozler",Journal of Health Economics,"37, 98-112",49,2014,"7534370675057763355,15325665941129571430",WbkHhVStYXYC
Poverty and Inequality,Berk Özler,ocxMxAwAAAAJ,Examining the reliability of self-reported data on school participation,"S Baird, B Özler",Journal of Development Economics,"98 (1), 89-93",47,2012,13328565845561896953,TFP_iSt0sucC
Poverty and Inequality,Berk Özler,ocxMxAwAAAAJ,Simulations for designing and interpreting intervention trials in infectious diseases,"ME Halloran, K Auranen, S Baird, NE Basta, SE Bellan, R Brookmeyer, ...",BMC medicine,"15 (1), 1-8",43,2017,717899409649669179,uLbwQdceFCQC
Poverty and Inequality,Berk Özler,ocxMxAwAAAAJ,Exploring the association between people and deforestation in Madagascar,"LJ Gorenflo, C Corson, KM Chomitz, G Harper, M Honzák, B Özler",Human population,197-221,42,2011,16293169072766587675,UebtZRa9Y70C
Poverty and Inequality,Berk Özler,ocxMxAwAAAAJ,Quantifying some of the impacts of economics blogs,"D McKenzie, B Özler",Economic Development and Cultural Change,"62 (3), 567-597",35,2014,"11920219658376390498,16396398010717317782,15688407089215325120,1572515465127344504,17063237545838918072,8717924228033687642,11093972668125100874",olpn-zPbct0C
Poverty and Inequality,Berk Özler,ocxMxAwAAAAJ,"Young women, rich (er) men and the spread of HIV","K Beegle, B Ozler","The World Bank, Washington, DC. Mimeo",,18,2006,55668241086953458,L8Ckcad2t8MC
Poverty and Inequality,Berk Özler,ocxMxAwAAAAJ,Decentralization and student achievement: The case of Nicaragua's School Autonomy Reform,B Ozler,Cornell University,,12,2001,6950815448190093452,35N4QoGY0k4C
Poverty and Inequality,Berk Özler,ocxMxAwAAAAJ,Girl Empower–A gender transformative mentoring and cash transfer intervention to promote adolescent wellbeing: Impact findings from a cluster-randomized controlled trial in Liberia,"B Özler, K Hallman, MF Guimond, EA Kelvin, M Rogers, E Karnley",SSM-population health,"10, 100527",8,2020,"8974798912706498278,14226888787040798748,9294782091662413288",URolC5Kub84C
Poverty and Inequality,Berk Özler,ocxMxAwAAAAJ,Toward Successful Development Policies: Insights from Research in Development Economics,"E Artuc, R Cull, S Dasgupta, R Fattal, D Filmer, X Giné, HG Jacoby, ...",,,8,2020,18055979548808034366,EYYDruWGBe4C
Poverty and Inequality,Berk Özler,ocxMxAwAAAAJ,Transactional Sex in Malawi,"S Baird, B Özler",The Oxford Handbook of the Economics of Prostitution,,6,2016,2558252685250644332,LjlpjdlvIbIC
Poverty and Inequality,Berk Özler,ocxMxAwAAAAJ,Children on the move: Progressive redistribution of humanitarian cash transfers among refugees,"B Özler, Ç Çelik, S Cunningham, PF Cuevas, L Parisotto",Journal of Development Economics,"153, 102733",4,2021,"7238211497883618260,10779203951598377107",lmc2jWPfTJgC
Poverty and Inequality,Berk Özler,ocxMxAwAAAAJ,Combining mentoring programs with cash transfers for adolescent girls in Liberia: baseline report,"K Hallman, E Kelvin, B Ozler, J Seban, E Kuhlik, C Alton, J Kamara, ...",World Bank Policy Research Working Paper,,2,2016,"2947225122483296142,5365170767853349358",eMMeJKvmdy0C
Poverty and Inequality,Berk Özler,ocxMxAwAAAAJ,Keeping Girls in School: A Review of the Global Evidence,B Özler,World Bank,,2,2016,"13254060273948056190,14163203591597695712",WZBGuue-350C
Poverty and Inequality,Berk Özler,ocxMxAwAAAAJ,Should We Just Give People Cash,B Ozler,Presentation to the World Bank,,2,2015,8552447732885049975,WqliGbK-hY8C
Poverty and Inequality,Berk Özler,ocxMxAwAAAAJ,Unpacking the Impacts of a Randomized CCT program in sub-Saharan Africa,"S Baird, E Chirwa, C McIntosh, B Özler","Research proposal, University of California–San Diego and World Bank …",,1,2009,7407311807748564937,zLWjf1WUPmwC
Poverty and Inequality,Berk Özler,ocxMxAwAAAAJ,Shared Decision-Making: Can Improved Counseling Increase Willingness to Pay for Modern Contraceptives?,"A Dohbit, B Susan, H Katy Ann, J Vitor, C Julian, B Ozler, L Parisotto, ...",The World Bank,,0,2021,NA,SpbeaW3--B0C
Poverty and Inequality,Berk Özler,ocxMxAwAAAAJ,Schooling and Incomes Reduce HIV Incidence Among Young,"S Baird, T Ahner-McHaffie, B Ozler",Structural Interventions for HIV Prevention: Optimizing Strategies for …,,0,2018,NA,uJ-U7cs_P_0C
Poverty and Inequality,Berk Özler,ocxMxAwAAAAJ,Policy Brief: Malawi,B Özler,Education,,0,2016,NA,e_rmSamDkqQC
Poverty and Inequality,Berk Özler,ocxMxAwAAAAJ,Conditional Cash Transfers: Influence on Marriage and Fertility,"S Baird, B Özler",International Encyclopedia of the Social & Behavioral Sciences: Second Edition,,0,2015,NA,Fu2w8maKXqMC
Poverty and Inequality,Berk Özler,ocxMxAwAAAAJ,Sex and the Classroom: Can School Enrollment Protect Adolescent Girls from Hiv?,"S Baird, C McIntosh, B Ozler",American Society of Health Economists (ASHEcon) Paper,,0,2010,NA,S16KYo8Pm5AC
Poverty and Inequality,Berk Özler,ocxMxAwAAAAJ,Administrative Data in a Study of Local Inequality and Project Choice,"P Lanjouw, B Özler",Being Being? g,111,0,2007,NA,8k81kl-MbHgC
Poverty and Inequality,Berk Özler,ocxMxAwAAAAJ,Toward Greater Global Equity,"B Özler, G Prennushi",Nordic Journal of Political Economy,"32, 3-15",0,2006,NA,kNdYIx-mwKoC
Poverty and Inequality,Katy Ann Bergstrom,4SH-BZ0AAAAJ,The Role of Inequality for Poverty Reduction,K Bergstrom,"World Bank, Washington, DC",,6,2020,12518997933722082295,Tyk-4Ss8FVUC
Poverty and Inequality,Katy Ann Bergstrom,4SH-BZ0AAAAJ,Using Labor Supply Elasticities to Learn about Income Inequality: The Role of Productivities versus Preferences,"K Bergstrom, W Dodds",American Economic Journal: Economic Policy,"13 (3), 28-62",4,2021,"5288383373344858238,10987883844419578491,8115662727186715161",zYLM7Y9cAGgC
Poverty and Inequality,Katy Ann Bergstrom,4SH-BZ0AAAAJ,The targeting benefit of conditional cash transfers,"K Bergstrom, W Dodds",Journal of Public Economics,"194, 104330",4,2021,12342955218254338757,u5HHmVD_uO8C
Poverty and Inequality,Katy Ann Bergstrom,4SH-BZ0AAAAJ,Does selling state silver generate private gold? neighbourhood impacts of state house sales,"K Bergstrom, A Grimes, S Stillman",Urban Studies,"51 (6), 1257-1273",2,2014,"14395412753996762743,10286435356356075881",Y0pCki6q_DkC
Poverty and Inequality,Katy Ann Bergstrom,4SH-BZ0AAAAJ,Intrahousehold investment decisions and child mortality: Explaining the first child preference in india,"K Bergstrom, W Dodds",,,1,2016,6831024333964956644,9yKSN-GCB0IC
Poverty and Inequality,Katy Ann Bergstrom,4SH-BZ0AAAAJ,Shared Decision-Making: Can Improved Counseling Increase Willingness to Pay for Modern Contraceptives?,"S Athey, KA Bergstrom, V Hadad, JC Jamison, B Ozler, L Parisotto, ...",Policy Research Working Paper Series,,0,2021,NA,YsMSGLbcyi4C
Poverty and Inequality,Katy Ann Bergstrom,4SH-BZ0AAAAJ,Optimal taxation with multiple dimensions of heterogeneity,"K Bergstrom, W Dodds",Journal of Public Economics,"200, 104442",0,2021,NA,UeHWp8X0CEIC
Poverty and Inequality,Katy Ann Bergstrom,4SH-BZ0AAAAJ,Shared Decision-Making,"S Athey, K Bergstrom, V Hadad, JC Jamison, B Ozler, L Parisotto, ...","World Bank, Washington, DC",,0,2021,NA,eQOLeE2rZwMC
Poverty and Inequality,Katy Ann Bergstrom,4SH-BZ0AAAAJ,Using Labor Supply Elasticities to Learn about Income Inequality,"K Bergstrom, W Dodds","World Bank, Washington, DC",,0,2020,NA,W7OEmFMy1HYC
Poverty and Inequality,Quy-Toan Do,k99ct9sAAAAJ,Land titling and rural transition in Vietnam,"QT Do, L Iyer",Economic Development and cultural change,"56 (3), 531-579",555,2008,"18082750670035198180,9737812643520837202,15202120645922293205",d1gkVwhDpl0C
Poverty and Inequality,Quy-Toan Do,k99ct9sAAAAJ,"Comparative advantage, demand for external finance, and financial development","QT Do, AA Levchenko",Journal of Financial Economics,"86 (3), 796-834",399,2007,"6350077083955634764,6228723380028226485",9yKSN-GCB0IC
Poverty and Inequality,Quy-Toan Do,k99ct9sAAAAJ,Reassessing conditional cash transfer programs,"J Das, QT Do, B Özler",The World Bank Research Observer,"20 (1), 57-80",343,2005,"15714925560519813869,7250467465467776447,15097343273691692511,5674388523097070551",u-x6o8ySG0sC
Poverty and Inequality,Quy-Toan Do,k99ct9sAAAAJ,"Geography, poverty and conflict in Nepal","QT Do, L Iyer",Journal of Peace Research,"47 (6), 735-748",328,2010,1914120444392451771,IjCSPb-OGe4C
Poverty and Inequality,Quy-Toan Do,k99ct9sAAAAJ,Mental health and poverty in developing countries: Revisiting the relationship,"J Das, QT Do, J Friedman, D McKenzie, K Scott",Social science & medicine,"65 (3), 467-480",233,2007,2360030106148151051,UeHWp8X0CEIC
Poverty and Inequality,Quy-Toan Do,k99ct9sAAAAJ,Trade and financial development,"QT Do, AA Levchenko","World Bank, Washington, DC",,193,2004,406524614102569276,J-pR_7NvFogC
Poverty and Inequality,Quy-Toan Do,k99ct9sAAAAJ,"Poverty, social divisions, and conflict in Nepal","L Iyer, QT Do",World Bank Policy Research Working Paper,,151,2007,"3939248179976347026,9585147146323808611",2osOgNQ5qMEC
Poverty and Inequality,Quy-Toan Do,k99ct9sAAAAJ,"Trade, inequality, and the political economy of institutions","QT Do, AA Levchenko",Journal of Economic theory,"144 (4), 1489-1520",131,2009,"14827289167211769087,15955925837456140229",UHK10RUVsp4C
Poverty and Inequality,Quy-Toan Do,k99ct9sAAAAJ,"Comparative advantage, international trade, and fertility","QT Do, AA Levchenko, C Raddatz",Journal of Development Economics,"119, 48-66",122,2016,"14640225406576837287,4768476260551448145,17635647762481521020,17029407967299939326",IWHjjKOFINEC
Poverty and Inequality,Quy-Toan Do,k99ct9sAAAAJ,Mental health patterns and consequences: results from survey data in five developing countries,"J Das, QT Do, J Friedman, D McKenzie",The World Bank Economic Review,"23 (1), 31-55",104,2009,"3419260010885292097,13107713221909320293,9550764447761782990,10678870270398108899",Y0pCki6q_DkC
Poverty and Inequality,Quy-Toan Do,k99ct9sAAAAJ,Natural disasters and household welfare: evidence from Vietnam,"T Thomas, L Christiaensen, QT Do, LD Trung",World Bank Policy Research Working Paper,,99,2010,4290381217616095870,0EnyYjriUFMC
Poverty and Inequality,Quy-Toan Do,k99ct9sAAAAJ,US and them: The geography of academic research,"J Das, QT Do, K Shaines, S Srikant",Journal of Development Economics,"105, 112-130",82,2013,"17615508272991031208,10775214488516754066",GnPB-g6toBAC
Poverty and Inequality,Quy-Toan Do,k99ct9sAAAAJ,How many years have refugees been in exile?,"X Devictor, QT Do",Population and Development Review,355-369,77,2017,"13457182730573237347,4622821497200293531",uWQEDVKXjbEC
Poverty and Inequality,Quy-Toan Do,k99ct9sAAAAJ,The importance of being wanted,"QT Do, TD Phung",American Economic Journal: Applied Economics,"2 (4), 236-53",61,2010,"12605941790639746364,10657497011106324114",hqOjcs7Dif8C
Poverty and Inequality,Quy-Toan Do,k99ct9sAAAAJ,The economics of consanguineous marriages,"QT Do, S Iyer, S Joshi",Review of Economics and Statistics,"95 (3), 904-918",59,2013,"2874416145330364747,5747114611485349847,1886666256619965458,2683005760155928091,11485703581512207298",BqipwSGYUEgC
Poverty and Inequality,Quy-Toan Do,k99ct9sAAAAJ,Handwashing behavior change at scale: evidence from a randomized evaluation in Vietnam,"C Chase, QT Do",World Bank Policy Research Working Paper,,48,2012,"15350603850181251254,13927604160210800826,5474426889083850505",4JMBOYKVnBMC
Poverty and Inequality,Quy-Toan Do,k99ct9sAAAAJ,Mental health in the aftermath of conflict,"QT Do, L Iyer",The Oxford handbook of the economics of peace and conflict,,43,2012,"9488086902673393388,12592535232993512447",70eg2SAEIzsC
Poverty and Inequality,Quy-Toan Do,k99ct9sAAAAJ,Transnational Terrorist Recruitment: Evidence from Daesh Personnel Records,"A Brockmeyer, QT Do, CJE Joubert, MA Jelil, K Bhatia",Revise and Resubmit at Review of Economics and Statistics,,41,2020,"584046991730900846,8841666173820186435,1295463460793153668,17225143377795893238,15945454260027273991,14295184628697193031,12044239228424821014,15445061930147309245,17637458375328869905,10569056076424346399,11329523879244062478",eq2jaN3J8jMC
Poverty and Inequality,Quy-Toan Do,k99ct9sAAAAJ,Can environmental policy reduce infant mortality? Evidence from the Ganga Pollution Cases,"QT Do, S Joshi, S Stolper",Journal of Development Economics,"133, 306-325",41,2018,"1916119724346819886,14791600343522470676,10266247446903035424,3754226289990698695,10817330173910206810",UxriW0iASnsC
Poverty and Inequality,Quy-Toan Do,k99ct9sAAAAJ,Financial dollarization and central bank credibility,"K Cowan, QT Do",Available at SSRN,636444,41,2003,16940837006454402243,Tyk-4Ss8FVUC
Poverty and Inequality,Quy-Toan Do,k99ct9sAAAAJ,"Terrorism, geopolitics, and oil security: Using remote sensing to estimate oil production of the Islamic State","QT Do, JN Shapiro, CD Elvidge, M Abdel-Jelil, DP Ahn, K Baugh, ...",Energy research & social science,"44, 411-418",37,2018,"6306423578706809644,15240897657851177352,312239541303214889",VOx2b1Wkg3QC
Poverty and Inequality,Quy-Toan Do,k99ct9sAAAAJ,Geographic distance and credit market access in Niger,"J Pedrosa, QT Do",African Development Review,"23 (3), 289-299",34,2011,"14671442042674952110,17795413957424428189",9ZlFYXVOiuMC
Poverty and Inequality,Quy-Toan Do,k99ct9sAAAAJ,Trade policy and redistribution when preferences are non-homothetic,"QT Do, AA Levchenko",Economics Letters,"155, 92-95",29,2017,"16747118009377505937,2076015154441316760,9616104068961107580,18326501407868915052,17946933295474330877",K3LRdlH-MEoC
Poverty and Inequality,Quy-Toan Do,k99ct9sAAAAJ,Institutional trap,QT Do,World Bank Publications,,20,2004,"14331406083142948126,8003409092090247832",_FxGoFyzp5QC
Poverty and Inequality,Quy-Toan Do,k99ct9sAAAAJ,Agent orange and the prevalence of cancer among the Vietnamese population 30 years after the end of the Vietnam war,QT Do,World Bank Policy Research Working Paper,,18,2009,7007944694036447885,LkGwnXOMwfcC
Poverty and Inequality,Quy-Toan Do,k99ct9sAAAAJ,Missing women and India's religious demography,"VK Borooah, QT Do, S Iyer, S Joshi",World Bank Policy Research Working Paper,,14,2009,11573821846569738694,3fE2CSJIrl8C
Poverty and Inequality,Quy-Toan Do,k99ct9sAAAAJ,Revisiting the relationship between mental health and poverty in developing countries: a response to Corrigall,"J Das, QT Do, J Friedman, D McKenzie, K Scott",Social Science & Medicine,"66 (9), 2064-2066",13,2008,14895552145600762804,kNdYIx-mwKoC
Poverty and Inequality,Quy-Toan Do,k99ct9sAAAAJ,Pirates of Somalia: Crime and deterrence on the high seas,"QT Do, L Ma, C Ruiz",World Bank Group,,8,2016,"6765165612126289964,13521462851572591312,4594394005183118787",HE397vMXCloC
Poverty and Inequality,Quy-Toan Do,k99ct9sAAAAJ,The price elasticity of African elephant poaching,"QT Do, AA Levchenko, L Ma, J Blanc, H Dublin, T Milliken",The World Bank Economic Review,"35 (3), 545-562",6,2021,6746342338203125108,B3FOqHPlNUQC
Poverty and Inequality,Quy-Toan Do,k99ct9sAAAAJ,The globalization of refugee flows,"X Devictor, QT Do, AA Levchenko",Journal of Development Economics,"150, 102605",3,2021,"4876057735999111765,14876842314707865051",tkaPQYYpVKoC
Poverty and Inequality,Quy-Toan Do,k99ct9sAAAAJ,The Intergenerational Mortality Tradeoff of COVID-19 Lockdown Policies,"L Ma, G Shapira, D De Walque, QT Do, J Friedman, AA Levchenko",National Bureau of Economic Research,,2,2021,17297050603710951564,JQOojiI6XY0C
Poverty and Inequality,Quy-Toan Do,k99ct9sAAAAJ,overview,"M Abdel Jelil, PA Corral Rodas, A Dahmani Scuitti, ME Dávalos, ...",The World Bank,,2,2018,"5804179284415109452,10629496012927464346",JoZmwDi-zQgC
Poverty and Inequality,Quy-Toan Do,k99ct9sAAAAJ,Transnational Terrorist Recruitment: Evidence from Daesh Personnel Records,"M Abdel-Jelil, K Bhatia, A Brockmeyer, QT Do, CJE Joubert",CEPR Discussion Paper No. DP,P16292,0,2021,NA,_Ybze24A_UAC
Poverty and Inequality,Quy-Toan Do,k99ct9sAAAAJ,The Intergenerational Mortality Tradeoff of COVID-19 Lockdown Policies,"D De Walque, QT Do, J Friedman, AA Levchenko, L Ma, G Shapira",CEPR Discussion Paper No. DP,P16227,0,2021,NA,uLbwQdceFCQC
Poverty and Inequality,Quy-Toan Do,k99ct9sAAAAJ,Reconstruire la Syrie: sans une perspective de paix,"S Devarajan, L Mottaghi, QT Do, M Abdel Jelil",The World Bank,,0,2016,NA,5awf1xo2G04C
Poverty and Inequality,Quy-Toan Do,k99ct9sAAAAJ,Hand washing behavior change at scale: evidence from a randomized evaluation in Vietnam,"C Chase, QT Do",The World Bank,,0,2013,NA,LjlpjdlvIbIC
Poverty and Inequality,Quy-Toan Do,k99ct9sAAAAJ,Research Newsletter...,"NA",Journal of Agricultural and Food Chemistry,"4 (5), 385-385",0,1956,NA,Fu2w8maKXqMC
Poverty and Inequality,Quy-Toan Do,k99ct9sAAAAJ,Alternative value frameworks for assessing Covid-19 pandemic policies,"L Ma, G Shapira, D de Walque, QT Do, J Friedman, A Levchenko, ...",,,0,NA,NA,W5xh706n7nkC
Poverty and Inequality,Jed Friedman,VEUvqZ8AAAAJ,Aggregate income shocks and infant mortality in the developing world,"S Baird, J Friedman, N Schady",Review of Economics and statistics,"93 (3), 847-856",390,2011,"12880095516643624654,7945461761416157810",qjMakFHDy7sC
Poverty and Inequality,Jed Friedman,VEUvqZ8AAAAJ,Methods of household consumption measurement through surveys: Experimental results from Tanzania,"K Beegle, J De Weerdt, J Friedman, J Gibson",Journal of Development Economics,"98 (1), 3-18",388,2012,13625317830091971686,_FxGoFyzp5QC
Poverty and Inequality,Jed Friedman,VEUvqZ8AAAAJ,The distributional impacts of Indonesia's financial crisis on household welfare: A “rapid response” methodology,"J Friedman, J Levinsohn",The World Bank Economic Review,"16 (3), 397-423",302,2002,"9950023860879896832,3348648825550583642",u-x6o8ySG0sC
Poverty and Inequality,Jed Friedman,VEUvqZ8AAAAJ,Mental health and poverty in developing countries: Revisiting the relationship,"J Das, QT Do, J Friedman, D McKenzie, K Scott",Social science & medicine,"65 (3), 467-480",233,2007,2360030106148151051,2osOgNQ5qMEC
Poverty and Inequality,Jed Friedman,VEUvqZ8AAAAJ,Causal effect of health on labor market outcomes: Evidence from a random assignment iron supplementation intervention,"D Thomas, E Frankenberg, J Friedman, JP Habicht, N Jones, C McKelvey, ...",,,228,2004,"6892745289971255203,2999077495977749870,5404594737161831816",eQOLeE2rZwMC
Poverty and Inequality,Jed Friedman,VEUvqZ8AAAAJ,Family size and children’s education in Vietnam,"TS Anh, J Knodel, D Lam, J Friedman",Demography,"35 (1), 57-70",222,1998,939972405221296129,d1gkVwhDpl0C
Poverty and Inequality,Jed Friedman,VEUvqZ8AAAAJ,12. Impacts of the Indonesian Economic Crisis: Price Changes and the Poor,"J Levinsohn, S Berry, J Friedman, L Pritchett",Managing currency crises in emerging markets,393-428,217,2007,"1538329822855873710,4521408364522596329,15050959763674873154,7727625535959022301,16880307044345831401,12310824125641670233",u5HHmVD_uO8C
Poverty and Inequality,Jed Friedman,VEUvqZ8AAAAJ,Mental health in Sumatra after the tsunami,"E Frankenberg, J Friedman, T Gillespie, N Ingwersen, R Pynoos, IU Rifai, ...",American journal of public health,"98 (9), 1671-1677",152,2008,15521181837089385321,zYLM7Y9cAGgC
